internship_id,title,company,sector,required_skills,location,duration_months,stipend,education_requirement,description,slots_available,application_deadline
345,Process Engineering Intern,Infosys,Manufacturing,"Team Work, Project Management, Problem Solving",Kolkata,12,4000,High School,Learn industry best practices in manufacturing domain.,6,2025-10-16
346,Policy Research Intern,Jubilant Foodworks,Government,"Communication, English, Leadership, MS Office",Jaipur,12,4000,High School,Work on real-world government projects and gain hands-on experience.,5,2025-10-29
347,Policy Research Intern,Mahindra Group,Government,"MS Office, English, Leadership",Chandigarh,12,5000,Undergraduate,Assist with research and development in government field.,1,2025-10-23
348,Rural Development Intern,UltraTech Cement,Agriculture,"Field Work, Agriculture, Research",Bhopal,6,5000,Undergraduate,Support agriculture operations and contribute to team objectives.,3,2025-10-09
349,Policy Research Intern,Dr. Reddy's Labs,Government,"English, Research, Leadership",Bangalore,12,5000,Any,Assist with research and development in government field.,7,2025-11-22
350,Healthcare Administration Intern,TVS Motor,Healthcare,"Communication, Research",Pune,12,5000,Diploma,Contribute to innovative healthcare solutions and processes.,8,2025-12-02
351,Agri-tech Intern,Nestle India,Agriculture,"Research, Local Language",Ahmedabad,12,5000,Undergraduate,Contribute to innovative agriculture solutions and processes.,2,2025-11-15
352,Market Research Intern,Asian Paints,Marketing,"Design, MS Office, Communication",Jaipur,12,5000,Undergraduate,Support marketing operations and contribute to team objectives.,3,2025-11-27
353,Policy Research Intern,UltraTech Cement,Government,"MS Office, English",Ahmedabad,6,5000,Diploma,Support government operations and contribute to team objectives.,4,2025-10-10
354,Medical Research Intern,Tata Consultancy Services,Healthcare,"MS Office, Biology",Bangalore,12,5000,Any,Contribute to innovative healthcare solutions and processes.,5,2025-11-21
355,Quality Control Intern,Wipro,Manufacturing,"Problem Solving, Excel, Team Work",Rural,6,4000,Any,Support manufacturing operations and contribute to team objectives.,3,2025-10-27
356,Legal Affairs Intern,Tech Mahindra,Government,"MS Office, Leadership, English, Research",Rural,6,5000,High School,Assist with research and development in government field.,5,2025-12-04
357,Public Health Intern,Dr. Reddy's Labs,Healthcare,"Communication, MS Office, Research",Ahmedabad,12,5000,High School,Work on real-world healthcare projects and gain hands-on experience.,8,2025-10-20
358,Brand Management Intern,UltraTech Cement,Marketing,"Design, Communication, MS Office",Chandigarh,12,5000,Any,Assist with research and development in marketing field.,8,2025-11-26
359,Clinical Data Intern,Jubilant Foodworks,Healthcare,"MS Office, Problem Solving, Research, Biology",Jaipur,12,5000,High School,Assist with research and development in healthcare field.,2,2025-10-25
360,Communication Intern,Bharti Airtel,Government,"Leadership, MS Office, Communication",Pune,6,5000,High School,Work on real-world government projects and gain hands-on experience.,6,2025-11-15
361,Data Science Intern,Nestle India,IT,"Data Analysis, Excel, Python",Rural,12,4000,Undergraduate,Assist with research and development in it field.,4,2025-10-15
362,Rural Development Intern,Asian Paints,Agriculture,"Research, Field Work, Agriculture",Bhopal,12,5000,Diploma,Support agriculture operations and contribute to team objectives.,9,2025-10-24
363,Content Marketing Intern,Bharti Airtel,Marketing,"Social Media, Marketing",Mumbai,12,5000,Undergraduate,Support marketing operations and contribute to team objectives.,10,2025-10-10
364,Production Intern,Hindustan Unilever,Manufacturing,"Excel, Project Management, Team Work",Hyderabad,12,5000,High School,Assist with research and development in manufacturing field.,2,2025-11-15
365,Web Development Intern,Infosys,IT,"Excel, Problem Solving, Data Analysis",Lucknow,12,4000,High School,Assist with research and development in it field.,8,2025-10-15
366,Risk Management Intern,Wipro,Finance,"Communication, Mathematics, Excel",Lucknow,12,5000,Undergraduate,Learn industry best practices in finance domain.,1,2025-11-05
367,Audit Intern,Muthoot Finance,Finance,"Excel, Finance, Data Analysis, Mathematics",Delhi,6,4000,Undergraduate,Contribute to innovative finance solutions and processes.,6,2025-11-03
368,Accounting Intern,Tata Consultancy Services,Finance,"Excel, Communication, Mathematics, Finance",Hyderabad,12,4000,High School,Contribute to innovative finance solutions and processes.,10,2025-11-29
369,Legal Affairs Intern,Tech Mahindra,Government,"MS Office, Research",Bhopal,12,5000,Undergraduate,Contribute to innovative government solutions and processes.,1,2025-11-29
370,Market Research Intern,Nestle India,Marketing,"MS Office, Marketing, Social Media, Communication",Kolkata,12,5000,Undergraduate,Contribute to innovative marketing solutions and processes.,2,2025-11-10
371,Communication Intern,Tech Mahindra,Government,"Research, Communication",Lucknow,12,6000,Any,Support government operations and contribute to team objectives.,3,2025-11-20
372,Public Service Intern,Nestle India,Government,"Leadership, English, MS Office, Research",Jaipur,12,5000,Diploma,Learn industry best practices in government domain.,9,2025-11-07
373,Educational Content Intern,Jubilant Foodworks,Education,"Communication, Leadership",Kolkata,6,5000,Undergraduate,Work on real-world education projects and gain hands-on experience.,5,2025-11-18
374,Audit Intern,Godrej Consumer,Finance,"Mathematics, Finance, Data Analysis",Bhopal,6,5000,Diploma,Assist with research and development in finance field.,10,2025-10-24
375,Healthcare Administration Intern,ICICI Bank,Healthcare,"Biology, Research",Rural,12,5000,Undergraduate,Assist with research and development in healthcare field.,10,2025-11-09
376,Farm Management Intern,HDFC Bank,Agriculture,"Agriculture, Research, Local Language, Field Work",Bangalore,6,5000,High School,Learn industry best practices in agriculture domain.,2,2025-11-28
377,Content Marketing Intern,TVS Motor,Marketing,"Social Media, Design",Rural,12,6000,High School,Work on real-world marketing projects and gain hands-on experience.,10,2025-12-03
378,Pharmacy Intern,Sun Pharma,Healthcare,"Communication, Biology, Research, Problem Solving",Bhopal,12,5000,High School,Assist with research and development in healthcare field.,5,2025-12-08
379,Educational Content Intern,State Bank of India,Education,"MS Office, Teaching",Jaipur,12,5000,Undergraduate,Assist with research and development in education field.,5,2025-12-04
380,Healthcare Administration Intern,State Bank of India,Healthcare,"Biology, Communication, Research, MS Office",Rural,12,5000,Diploma,Assist with research and development in healthcare field.,1,2025-10-22
381,Teaching Assistant,Maruti Suzuki,Education,"English, Communication",Ahmedabad,12,4000,Any,Learn industry best practices in education domain.,3,2025-12-03
382,Cybersecurity Intern,Maruti Suzuki,IT,"Data Analysis, Python, Communication, Problem Solving",Kolkata,12,5000,Any,Support it operations and contribute to team objectives.,5,2025-10-26
383,Learning Design Intern,ICICI Bank,Education,"Communication, MS Office, Teaching",Bhopal,6,4000,High School,Work on real-world education projects and gain hands-on experience.,9,2025-11-22
384,Risk Management Intern,Tata Consultancy Services,Finance,"Data Analysis, Mathematics, Communication, Finance",Rural,12,5000,High School,Contribute to innovative finance solutions and processes.,10,2025-12-03
385,Audit Intern,Dr. Reddy's Labs,Finance,"Excel, Data Analysis, Finance",Hyderabad,12,4000,High School,Support finance operations and contribute to team objectives.,1,2025-10-28
386,Investment Banking Intern,Infosys,Finance,"Mathematics, Data Analysis, Excel",Hyderabad,12,5000,High School,Assist with research and development in finance field.,8,2025-11-08
387,Rural Development Intern,Jubilant Foodworks,Agriculture,"Research, Agriculture, Local Language, Field Work",Jaipur,6,6000,High School,Learn industry best practices in agriculture domain.,1,2025-11-04
388,Process Engineering Intern,Dr. Reddy's Labs,Manufacturing,"Problem Solving, Excel, Project Management, Team Work",Rural,12,5000,Diploma,Work on real-world manufacturing projects and gain hands-on experience.,9,2025-11-03
389,Insurance Intern,Maruti Suzuki,Finance,"Mathematics, Excel, Data Analysis",Bangalore,12,5000,Diploma,Contribute to innovative finance solutions and processes.,6,2025-11-23
390,Academic Research Intern,Eicher Motors,Education,"Leadership, Communication, English, MS Office",Any Location,12,5000,Diploma,Learn industry best practices in education domain.,1,2025-10-20
391,Supply Chain Intern,ICICI Bank,Manufacturing,"Problem Solving, Team Work",Pune,12,5000,Diploma,Assist with research and development in manufacturing field.,8,2025-12-04
392,Agricultural Marketing Intern,Godrej Consumer,Agriculture,"Agriculture, Research",Jaipur,12,6000,Diploma,Work on real-world agriculture projects and gain hands-on experience.,5,2025-11-07
393,Risk Management Intern,Larsen & Toubro,Finance,"Finance, Excel, Communication, Mathematics",Lucknow,12,5000,Undergraduate,Support finance operations and contribute to team objectives.,7,2025-10-14
394,Quality Control Intern,Bajaj Finance,Manufacturing,"Problem Solving, Excel, Team Work, Project Management",Any Location,6,5000,Any,Work on real-world manufacturing projects and gain hands-on experience.,7,2025-10-23
395,Investment Banking Intern,Hero MotoCorp,Finance,"Mathematics, Data Analysis, Finance",Bangalore,12,5000,Any,Support finance operations and contribute to team objectives.,7,2025-11-16
396,Risk Management Intern,Infosys,Finance,"Finance, Data Analysis, Excel, Communication",Rural,12,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,6,2025-10-27
397,Brand Management Intern,Infosys,Marketing,"Design, Communication, MS Office, Marketing",Mumbai,12,5000,High School,Assist with research and development in marketing field.,8,2025-10-17
398,Process Engineering Intern,Wipro,Manufacturing,"Team Work, Project Management, Excel, Problem Solving",Chandigarh,12,5000,Undergraduate,Work on real-world manufacturing projects and gain hands-on experience.,9,2025-10-15
399,Software Development Intern,UltraTech Cement,IT,"Java, Problem Solving, Data Analysis",Lucknow,6,5000,High School,Work on real-world it projects and gain hands-on experience.,2,2025-10-25
400,Rural Development Intern,Wipro,Agriculture,"Local Language, Agriculture, Research",Lucknow,6,5000,Diploma,Learn industry best practices in agriculture domain.,7,2025-10-19
401,Public Service Intern,UltraTech Cement,Government,"Communication, Research, Leadership",Chandigarh,12,5000,Any,Support government operations and contribute to team objectives.,2,2025-10-25
402,Pharmacy Intern,Bajaj Finance,Healthcare,"Research, MS Office",Any Location,12,5000,Undergraduate,Learn industry best practices in healthcare domain.,6,2025-12-07
403,Rural Development Intern,Larsen & Toubro,Agriculture,"Local Language, Research, Field Work",Kolkata,12,4000,Diploma,Learn industry best practices in agriculture domain.,2,2025-11-25
404,Administrative Intern,Tech Mahindra,Government,"English, Research, Leadership, MS Office",Delhi,12,5000,Diploma,Support government operations and contribute to team objectives.,10,2025-10-11
405,Public Service Intern,Sun Pharma,Government,"English, Leadership",Mumbai,12,4000,Any,Work on real-world government projects and gain hands-on experience.,6,2025-11-06
406,Industrial Design Intern,Reliance Industries,Manufacturing,"Excel, Team Work, Problem Solving",Any Location,12,5000,Diploma,Work on real-world manufacturing projects and gain hands-on experience.,2,2025-10-31
407,Healthcare Administration Intern,Muthoot Finance,Healthcare,"Research, Problem Solving, Communication",Jaipur,12,4000,Undergraduate,Contribute to innovative healthcare solutions and processes.,1,2025-12-05
408,Accounting Intern,Godrej Consumer,Finance,"Communication, Finance",Kolkata,12,5000,High School,Support finance operations and contribute to team objectives.,7,2025-11-27
409,Policy Research Intern,Nestle India,Government,"Research, MS Office, English",Bhopal,12,6000,High School,Assist with research and development in government field.,3,2025-11-01
410,Pharmacy Intern,Tech Mahindra,Healthcare,"Biology, Problem Solving",Ahmedabad,12,4000,Any,Assist with research and development in healthcare field.,4,2025-11-18
411,Content Marketing Intern,Dr. Reddy's Labs,Marketing,"Social Media, Marketing, MS Office, Communication",Pune,12,5000,Diploma,Support marketing operations and contribute to team objectives.,6,2025-12-03
412,Mobile App Development Intern,HDFC Bank,IT,"Data Analysis, Python, Excel",Jaipur,12,5000,Any,Work on real-world it projects and gain hands-on experience.,5,2025-11-03
413,Brand Management Intern,Dr. Reddy's Labs,Marketing,"Design, Social Media",Delhi,12,6000,Diploma,Support marketing operations and contribute to team objectives.,4,2025-11-02
414,Rural Development Intern,ICICI Bank,Agriculture,"Field Work, Agriculture, Research, Local Language",Rural,12,5000,Any,Learn industry best practices in agriculture domain.,9,2025-12-05
415,Learning Design Intern,ICICI Bank,Education,"Teaching, Communication, Leadership, MS Office",Ahmedabad,12,5000,Any,Assist with research and development in education field.,6,2025-11-08
416,Content Marketing Intern,Nestle India,Marketing,"Design, Social Media, Communication, Marketing",Lucknow,6,4000,Diploma,Assist with research and development in marketing field.,6,2025-11-18
417,Agri-tech Intern,Nestle India,Agriculture,"Local Language, Field Work",Bhopal,12,5000,Diploma,Support agriculture operations and contribute to team objectives.,2,2025-12-07
418,Communication Intern,Nestle India,Government,"Leadership, Research, Communication, MS Office",Kolkata,12,5000,High School,Assist with research and development in government field.,6,2025-10-28
419,Educational Content Intern,TVS Motor,Education,"Communication, English, MS Office, Leadership",Hyderabad,12,5000,High School,Contribute to innovative education solutions and processes.,7,2025-10-13
420,AI/ML Intern,HDFC Bank,IT,"Excel, Problem Solving",Kolkata,6,4000,High School,Assist with research and development in it field.,8,2025-11-20
421,Social Media Intern,HDFC Bank,Marketing,"MS Office, Social Media, Marketing",Delhi,6,4000,High School,Assist with research and development in marketing field.,8,2025-10-20
422,Student Support Intern,Nestle India,Education,"Teaching, Leadership",Chandigarh,6,5000,Undergraduate,Learn industry best practices in education domain.,9,2025-11-15
423,Legal Affairs Intern,TVS Motor,Government,"MS Office, Leadership, Research, English",Bangalore,12,5000,High School,Contribute to innovative government solutions and processes.,10,2025-10-25
424,Public Health Intern,HDFC Bank,Healthcare,"Biology, Problem Solving, Research, MS Office",Delhi,6,5000,Diploma,Assist with research and development in healthcare field.,3,2025-11-07
425,Agricultural Marketing Intern,Hindustan Unilever,Agriculture,"Research, Field Work, Local Language, Agriculture",Rural,12,4000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,10,2025-10-17
426,Teaching Assistant,UltraTech Cement,Education,"Teaching, MS Office",Chandigarh,6,5000,Diploma,Work on real-world education projects and gain hands-on experience.,7,2025-10-22
427,Administrative Intern,Mahindra Group,Government,"Communication, English, MS Office, Research",Mumbai,6,6000,Undergraduate,Assist with research and development in government field.,7,2025-10-18
428,Legal Affairs Intern,Dr. Reddy's Labs,Government,"Research, Communication",Bangalore,6,5000,Any,Assist with research and development in government field.,1,2025-11-08
429,Cybersecurity Intern,Larsen & Toubro,IT,"Java, Communication, Data Analysis, Problem Solving",Any Location,6,5000,Any,Work on real-world it projects and gain hands-on experience.,8,2025-10-30
430,Software Development Intern,Wipro,IT,"Communication, Problem Solving, Excel, Java",Chandigarh,12,4000,Undergraduate,Work on real-world it projects and gain hands-on experience.,4,2025-11-09
431,Farm Management Intern,Eicher Motors,Agriculture,"Research, Agriculture, Local Language, Field Work",Kolkata,12,5000,Undergraduate,Contribute to innovative agriculture solutions and processes.,5,2025-10-13
432,Market Research Intern,Bharti Airtel,Marketing,"Social Media, Design, Marketing",Bhopal,12,5000,Undergraduate,Assist with research and development in marketing field.,6,2025-11-22
433,Agri-tech Intern,Nestle India,Agriculture,"Local Language, Research",Chennai,6,5000,Any,Learn industry best practices in agriculture domain.,3,2025-11-06
434,Accounting Intern,Godrej Consumer,Finance,"Communication, Mathematics",Lucknow,6,5000,Any,Support finance operations and contribute to team objectives.,5,2025-12-04
435,Market Research Intern,Bharti Airtel,Marketing,"Marketing, Design, Social Media",Lucknow,12,5000,Diploma,Learn industry best practices in marketing domain.,10,2025-11-22
436,Public Health Intern,Tata Consultancy Services,Healthcare,"Research, Problem Solving",Bangalore,12,5000,Any,Work on real-world healthcare projects and gain hands-on experience.,5,2025-11-28
437,Farm Management Intern,State Bank of India,Agriculture,"Field Work, Agriculture, Local Language",Delhi,6,5000,Undergraduate,Learn industry best practices in agriculture domain.,1,2025-10-31
438,Educational Content Intern,Larsen & Toubro,Education,"Teaching, MS Office, English, Communication",Mumbai,12,5000,Diploma,Work on real-world education projects and gain hands-on experience.,3,2025-11-13
439,Audit Intern,Wipro,Finance,"Mathematics, Communication, Excel",Rural,12,4000,Undergraduate,Support finance operations and contribute to team objectives.,3,2025-12-02
440,Medical Research Intern,ICICI Bank,Healthcare,"MS Office, Biology, Problem Solving",Rural,6,5000,High School,Contribute to innovative healthcare solutions and processes.,1,2025-10-11
441,Healthcare Administration Intern,Godrej Consumer,Healthcare,"Biology, Research, MS Office, Problem Solving",Chandigarh,12,5000,Undergraduate,Assist with research and development in healthcare field.,7,2025-11-26
442,Policy Research Intern,Godrej Consumer,Government,"MS Office, Leadership",Any Location,6,5000,Diploma,Work on real-world government projects and gain hands-on experience.,1,2025-12-02
443,Audit Intern,Jubilant Foodworks,Finance,"Excel, Finance, Data Analysis",Pune,12,5000,Undergraduate,Contribute to innovative finance solutions and processes.,7,2025-10-19
444,Pharmacy Intern,Muthoot Finance,Healthcare,"MS Office, Communication, Problem Solving",Bhopal,6,5000,Diploma,Support healthcare operations and contribute to team objectives.,4,2025-11-26
445,Agricultural Research Intern,Wipro,Agriculture,"Research, Field Work",Kolkata,12,6000,Any,Contribute to innovative agriculture solutions and processes.,9,2025-11-28
446,Production Intern,Tata Consultancy Services,Manufacturing,"Team Work, Problem Solving, Project Management",Mumbai,6,5000,Undergraduate,Learn industry best practices in manufacturing domain.,7,2025-11-03
447,Student Support Intern,Wipro,Education,"Leadership, Teaching",Bhopal,12,5000,Diploma,Contribute to innovative education solutions and processes.,5,2025-10-12
448,Market Research Intern,Bajaj Finance,Marketing,"MS Office, Marketing, Design",Chandigarh,6,5000,Undergraduate,Learn industry best practices in marketing domain.,7,2025-10-09
449,Content Marketing Intern,Muthoot Finance,Marketing,"Communication, Design, MS Office, Social Media",Jaipur,12,5000,Any,Learn industry best practices in marketing domain.,9,2025-12-04
450,Agricultural Research Intern,Asian Paints,Agriculture,"Agriculture, Research, Field Work",Kolkata,12,5000,Diploma,Contribute to innovative agriculture solutions and processes.,10,2025-11-12
451,Brand Management Intern,Tata Consultancy Services,Marketing,"MS Office, Marketing",Jaipur,12,4000,Undergraduate,Support marketing operations and contribute to team objectives.,6,2025-10-10
452,AI/ML Intern,Hero MotoCorp,IT,"Data Analysis, Java, Communication, Problem Solving",Kolkata,12,5000,High School,Work on real-world it projects and gain hands-on experience.,1,2025-12-01
453,Supply Chain Intern,Bharti Airtel,Manufacturing,"Project Management, Problem Solving, Excel, Team Work",Ahmedabad,12,5000,Undergraduate,Contribute to innovative manufacturing solutions and processes.,6,2025-11-25
454,Cybersecurity Intern,Larsen & Toubro,IT,"Java, Excel, Communication",Pune,12,6000,Undergraduate,Learn industry best practices in it domain.,1,2025-11-20
455,Student Support Intern,Mahindra Group,Education,"English, Teaching, MS Office, Leadership",Any Location,6,5000,Undergraduate,Assist with research and development in education field.,4,2025-10-15
456,Student Support Intern,Reliance Industries,Education,"Teaching, MS Office, Leadership",Kolkata,12,5000,Diploma,Assist with research and development in education field.,8,2025-10-22
457,Policy Research Intern,Bajaj Finance,Government,"Leadership, English, MS Office",Jaipur,6,5000,Any,Learn industry best practices in government domain.,5,2025-11-15
458,Legal Affairs Intern,Hindustan Unilever,Government,"English, Leadership, Research",Bangalore,12,5000,Diploma,Assist with research and development in government field.,5,2025-11-23
459,Administrative Intern,Hindustan Unilever,Government,"Leadership, Research, MS Office, English",Ahmedabad,6,5000,Any,Work on real-world government projects and gain hands-on experience.,10,2025-11-25
460,Academic Research Intern,Larsen & Toubro,Education,"Teaching, Leadership, MS Office",Mumbai,12,5000,Undergraduate,Contribute to innovative education solutions and processes.,8,2025-10-27
461,AI/ML Intern,Bharti Airtel,IT,"Python, Data Analysis",Hyderabad,12,5000,Undergraduate,Learn industry best practices in it domain.,8,2025-10-27
462,Policy Research Intern,Muthoot Finance,Government,"Communication, English",Delhi,12,4000,Undergraduate,Learn industry best practices in government domain.,1,2025-10-22
463,Student Support Intern,Jubilant Foodworks,Education,"Teaching, Communication",Mumbai,12,5000,High School,Assist with research and development in education field.,5,2025-11-08
464,Content Marketing Intern,HDFC Bank,Marketing,"Marketing, Design, Communication",Any Location,6,5000,Diploma,Support marketing operations and contribute to team objectives.,5,2025-11-10
465,Legal Affairs Intern,Asian Paints,Government,"English, Communication, MS Office, Leadership",Mumbai,12,4000,Any,Assist with research and development in government field.,8,2025-10-23
466,Rural Development Intern,ICICI Bank,Agriculture,"Agriculture, Local Language, Field Work, Research",Bhopal,6,5000,High School,Support agriculture operations and contribute to team objectives.,1,2025-11-23
467,AI/ML Intern,Hindustan Unilever,IT,"Communication, Data Analysis, Python, Excel",Jaipur,12,5000,High School,Support it operations and contribute to team objectives.,7,2025-11-17
468,AI/ML Intern,Hero MotoCorp,IT,"Java, Problem Solving, Python, Excel",Bhopal,12,5000,Diploma,Work on real-world it projects and gain hands-on experience.,7,2025-10-26
469,Investment Banking Intern,Sun Pharma,Finance,"Communication, Data Analysis, Excel, Finance",Kolkata,12,5000,High School,Assist with research and development in finance field.,9,2025-12-03
470,Web Development Intern,TVS Motor,IT,"Java, Problem Solving, Python",Any Location,6,5000,Undergraduate,Assist with research and development in it field.,2,2025-10-25
471,Medical Research Intern,Bajaj Finance,Healthcare,"Problem Solving, Research",Hyderabad,6,5000,Diploma,Support healthcare operations and contribute to team objectives.,3,2025-10-25
472,Healthcare Administration Intern,Larsen & Toubro,Healthcare,"MS Office, Research, Biology",Lucknow,6,4000,Undergraduate,Support healthcare operations and contribute to team objectives.,4,2025-10-10
473,Web Development Intern,Hero MotoCorp,IT,"Python, Data Analysis, Java",Kolkata,6,5000,Undergraduate,Learn industry best practices in it domain.,1,2025-11-02
474,Medical Research Intern,Dr. Reddy's Labs,Healthcare,"Research, Problem Solving",Ahmedabad,6,5000,Any,Work on real-world healthcare projects and gain hands-on experience.,7,2025-10-26
475,Web Development Intern,Godrej Consumer,IT,"Excel, Problem Solving, Python",Ahmedabad,12,5000,High School,Assist with research and development in it field.,10,2025-11-18
476,Financial Analysis Intern,Eicher Motors,Finance,"Communication, Excel, Data Analysis",Rural,6,4000,Diploma,Learn industry best practices in finance domain.,3,2025-11-14
477,Farm Management Intern,Infosys,Agriculture,"Field Work, Agriculture",Pune,12,5000,Diploma,Support agriculture operations and contribute to team objectives.,3,2025-11-12
478,Agricultural Marketing Intern,Maruti Suzuki,Agriculture,"Agriculture, Research, Field Work",Any Location,12,4000,Undergraduate,Support agriculture operations and contribute to team objectives.,3,2025-10-09
479,Cybersecurity Intern,Sun Pharma,IT,"Excel, Data Analysis, Problem Solving",Pune,12,5000,Diploma,Contribute to innovative it solutions and processes.,8,2025-12-01
480,Digital Marketing Intern,Maruti Suzuki,Marketing,"MS Office, Social Media",Hyderabad,12,5000,High School,Assist with research and development in marketing field.,9,2025-11-22
481,Healthcare Administration Intern,Dr. Reddy's Labs,Healthcare,"Problem Solving, Communication, Research, Biology",Lucknow,12,4000,Undergraduate,Learn industry best practices in healthcare domain.,10,2025-11-18
482,Market Research Intern,Hero MotoCorp,Marketing,"Communication, Marketing, MS Office",Chennai,12,5000,Any,Contribute to innovative marketing solutions and processes.,2,2025-10-30
483,Mobile App Development Intern,Bharti Airtel,IT,"Communication, Python",Lucknow,6,5000,Any,Work on real-world it projects and gain hands-on experience.,10,2025-12-05
484,Mobile App Development Intern,TVS Motor,IT,"Problem Solving, Excel",Chandigarh,12,5000,Any,Assist with research and development in it field.,10,2025-11-12
485,Medical Research Intern,Tech Mahindra,Healthcare,"Biology, MS Office, Communication, Problem Solving",Pune,12,6000,Any,Contribute to innovative healthcare solutions and processes.,1,2025-10-31
486,Agricultural Research Intern,Mahindra Group,Agriculture,"Agriculture, Research, Field Work, Local Language",Chennai,12,4000,Any,Work on real-world agriculture projects and gain hands-on experience.,9,2025-10-23
487,Web Development Intern,Tata Consultancy Services,IT,"Communication, Data Analysis, Java, Python",Any Location,12,6000,Undergraduate,Support it operations and contribute to team objectives.,6,2025-10-23
488,Public Service Intern,Tech Mahindra,Government,"MS Office, English",Chandigarh,12,4000,Diploma,Work on real-world government projects and gain hands-on experience.,9,2025-10-21
489,Agri-tech Intern,State Bank of India,Agriculture,"Research, Agriculture, Local Language",Bhopal,12,5000,Diploma,Work on real-world agriculture projects and gain hands-on experience.,6,2025-11-15
490,Teaching Assistant,Infosys,Education,"Communication, English",Jaipur,6,5000,Undergraduate,Support education operations and contribute to team objectives.,2,2025-12-02
491,Mobile App Development Intern,Hindustan Unilever,IT,"Excel, Communication, Data Analysis, Problem Solving",Jaipur,12,6000,Any,Work on real-world it projects and gain hands-on experience.,1,2025-12-08
492,Agri-tech Intern,Muthoot Finance,Agriculture,"Research, Field Work, Local Language",Mumbai,12,5000,Any,Assist with research and development in agriculture field.,8,2025-11-01
493,Mobile App Development Intern,Tech Mahindra,IT,"Python, Data Analysis",Kolkata,6,5000,Any,Learn industry best practices in it domain.,3,2025-10-09
494,Agricultural Research Intern,Wipro,Agriculture,"Agriculture, Local Language, Research",Chandigarh,6,5000,Diploma,Assist with research and development in agriculture field.,1,2025-10-13
495,Investment Banking Intern,ICICI Bank,Finance,"Mathematics, Communication",Mumbai,6,5000,High School,Work on real-world finance projects and gain hands-on experience.,8,2025-11-08
496,Agri-tech Intern,TVS Motor,Agriculture,"Local Language, Field Work, Agriculture, Research",Ahmedabad,12,4000,Diploma,Learn industry best practices in agriculture domain.,1,2025-12-01
497,Web Development Intern,Tech Mahindra,IT,"Java, Python, Problem Solving, Excel",Bhopal,6,5000,Any,Contribute to innovative it solutions and processes.,8,2025-10-16
498,Medical Research Intern,Nestle India,Healthcare,"MS Office, Communication",Any Location,12,5000,High School,Support healthcare operations and contribute to team objectives.,1,2025-10-12
499,Policy Research Intern,Reliance Industries,Government,"Leadership, English, Research",Mumbai,12,5000,High School,Contribute to innovative government solutions and processes.,9,2025-10-12
500,Market Research Intern,State Bank of India,Marketing,"Social Media, Design, MS Office",Any Location,12,5000,High School,Assist with research and development in marketing field.,9,2025-11-02
501,Legal Affairs Intern,Maruti Suzuki,Government,"Leadership, Research, Communication, English",Ahmedabad,12,5000,Undergraduate,Contribute to innovative government solutions and processes.,9,2025-10-21
502,Medical Research Intern,Maruti Suzuki,Healthcare,"Problem Solving, Biology",Lucknow,12,6000,Diploma,Contribute to innovative healthcare solutions and processes.,3,2025-10-17
503,Social Media Intern,Tata Consultancy Services,Marketing,"Design, MS Office, Social Media",Chennai,12,5000,Diploma,Work on real-world marketing projects and gain hands-on experience.,4,2025-10-12
504,Learning Design Intern,Asian Paints,Education,"Leadership, Communication, English, Teaching",Bangalore,6,6000,Any,Learn industry best practices in education domain.,5,2025-11-16
505,Supply Chain Intern,Tata Consultancy Services,Manufacturing,"Problem Solving, Project Management, Excel",Delhi,12,4000,Diploma,Contribute to innovative manufacturing solutions and processes.,6,2025-11-30
506,Cybersecurity Intern,Sun Pharma,IT,"Java, Communication, Excel",Rural,12,5000,High School,Learn industry best practices in it domain.,9,2025-10-21
507,Legal Affairs Intern,Tata Consultancy Services,Government,"MS Office, Leadership, English, Communication",Kolkata,12,5000,Undergraduate,Support government operations and contribute to team objectives.,4,2025-10-15
508,Policy Research Intern,Mahindra Group,Government,"Communication, Research, MS Office",Chennai,12,5000,Diploma,Assist with research and development in government field.,6,2025-11-17
509,Investment Banking Intern,Muthoot Finance,Finance,"Mathematics, Data Analysis, Excel",Kolkata,6,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,1,2025-11-01
510,Software Development Intern,Maruti Suzuki,IT,"Python, Excel, Communication",Bangalore,12,5000,Undergraduate,Assist with research and development in it field.,2,2025-10-21
511,Production Intern,Larsen & Toubro,Manufacturing,"Team Work, Problem Solving",Hyderabad,6,5000,Diploma,Support manufacturing operations and contribute to team objectives.,8,2025-12-04
512,Brand Management Intern,Mahindra Group,Marketing,"MS Office, Communication, Social Media",Chennai,12,5000,High School,Support marketing operations and contribute to team objectives.,4,2025-12-01
513,Digital Marketing Intern,Sun Pharma,Marketing,"Communication, Design",Bhopal,12,4000,High School,Learn industry best practices in marketing domain.,10,2025-12-07
514,Risk Management Intern,Tech Mahindra,Finance,"Finance, Mathematics, Communication",Bhopal,12,5000,Diploma,Contribute to innovative finance solutions and processes.,7,2025-11-29
515,Agri-tech Intern,Wipro,Agriculture,"Field Work, Agriculture",Rural,6,5000,Diploma,Support agriculture operations and contribute to team objectives.,4,2025-11-12
516,Rural Development Intern,Eicher Motors,Agriculture,"Research, Local Language, Agriculture",Delhi,12,5000,Diploma,Contribute to innovative agriculture solutions and processes.,9,2025-10-27
